Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-radiologie-bilder-freitext.json	977	2	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	182	482	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-relevante-nebendiagnosen-freitext.json	999	2	0	10	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	182	497	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-skelettszintigraphie.json	1542	3	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	195	567	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-tumor-board-anmeldung.json	3818	2	0	22	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	323	579	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-tumorErkrankung.json	2563	2	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	169	206	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-tumorsituation.json	1235	2	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	179	290	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-verlauf-freitext.json	904	3	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	181	417	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-weitere-gewuenschte-teilnehmer-freitext.json	1091	66	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	178	313	0	0	0	4	0	0
fsh-generated/resources/ValueSet-C34-BronchusLunge-ICDO3Topo.json	1289	6	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	12	284	0	0	0	0	0	0
fsh-generated/resources/ValueSet-C34-BronchusLunge-Neoplasien.json	1262	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	190	0	0	0	0	0	0
fsh-generated/resources/ValueSet-StatusBildbefundVS.json	866	21	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	134	0	0	0	0	0	0
fsh-generated/resources/ValueSet-befundstatust-vs.json	918	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	128	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ecog-performance-status.json	1550	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	108	0	0	0	0	0	0
fsh-generated/resources/ValueSet-externe-bilder-vs.json	898	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	98	0	0	0	0	0	0
fsh-generated/resources/ValueSet-gewuenschte-teilnehmer-vs.json	2904	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	171	0	0	0	0	0	0
fsh-generated/resources/ValueSet-histologische-typisierung-vs.json	890	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	128	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ja-nein-beratung-vs.json	896	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	86	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ja-nein-unbekannt-vs.json	770	19	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	135	0	0	0	0	0	0
fsh-generated/resources/ValueSet-pos-neg-nask-vs.json	821	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	10	127	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tumorsituation-vs.json	463	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	128	0	0	0	0	0	0
