URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.de/ValueSet/identifier-type-de-basis,1.5.0,active,,IdentifierTypeDeBasis,Identifier Type DeBasis ValueSet,"ValueSet zur Codierung des Identifier-Typs","StructureDefinition/TumorPatient","THO (V2),de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/TumorPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/Anmelder,StructureDefinition/TumorPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/TumorPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","THO"
